,perc_products_sent_one_bc,perc_products_sent_several_bc,perc_products_not_catch,perc_max_prod_catch_from_other_bc,total_products
0,2512,637,3872,0,7021.0
0,2512,637,3872,0.001,7021.0
0,2512,637,3872,0.005,7021.0
0,2512,637,3872,0.01,7021.0
0,2512,637,3872,0.03,7021.0
0,2510,639,3872,0.05,7021.0
0,2505,644,3872,0.07,7021.0
0,2515,651,3855,0.1,7021.0
0,2528,707,3786,0.2,7021.0
0,2557,732,3732,0.3,7021.0
0,2866,909,3246,0.4,7021.0
0,2283,1691,3047,0.5,7021.0
0,2272,1754,2995,0.6,7021.0
0,2212,1876,2933,0.7,7021.0
0,2199,1893,2929,0.8,7021.0
0,2082,2024,2915,0.9,7021.0
0,2108,2221,2692,1,7021.0
